Impression_ID,Userid,Listing_ID,Plus,Rank,Price,Booked
555,atbc8qYZ,43367113,0,35,185,0
556,atbc8qYZ,43820536,0,36,189,0
557,atbc8qYZ,44519908,0,37,100,0
558,atbc8qYZ,44608896,0,38,227,0
559,atbc8qYZ,45053706,0,39,160,0
560,atbc8qYZ,45469731,0,40,178,0
561,b84V0l9G,793723,0,1,250,0
562,b84V0l9G,5374761,0,2,210,0
563,b84V0l9G,7576657,0,3,186,0
564,b84V0l9G,11815241,0,4,282,0
565,b84V0l9G,13140432,0,5,235,0
566,b84V0l9G,14068513,0,6,282,0
567,b84V0l9G,14071933,0,7,282,1
568,b84V0l9G,14072680,0,8,282,0
569,b84V0l9G,20322055,0,9,252,0
570,b84V0l9G,20322202,0,10,223,0
571,b84V0l9G,21062970,0,11,235,0
572,b84V0l9G,21267121,0,12,282,0
573,b84V0l9G,27668343,0,13,250,0
574,b84V0l9G,28483791,0,14,124,0
575,b84V0l9G,28488431,0,15,208,0
576,b84V0l9G,28495316,0,16,150,0
577,b84V0l9G,31571374,0,17,243,0
578,b84V0l9G,31802949,0,18,200,0
579,b84V0l9G,32118568,0,19,173,0
580,b84V0l9G,36104319,0,20,188,0
581,b84V0l9G,36637796,0,21,178,0
582,b84V0l9G,36982780,0,22,95,0
583,b84V0l9G,38022100,0,23,203,0
584,b84V0l9G,38123319,0,24,210,0
585,b84V0l9G,38151123,0,25,210,0
586,b84V0l9G,38678234,0,26,399,0
587,b84V0l9G,39007825,0,27,174,0
588,b84V0l9G,39359174,0,28,219,0
589,b84V0l9G,39569048,0,29,175,0
590,b84V0l9G,40536667,0,30,234,0
591,b84V0l9G,42049771,0,31,169,0
592,b84V0l9G,43123765,0,32,245,0
593,b84V0l9G,43156280,0,33,182,0
594,b84V0l9G,43348175,0,34,200,0
595,b84V0l9G,43367113,0,35,185,0
596,b84V0l9G,43820536,0,36,189,0
597,b84V0l9G,44519908,0,37,100,0
598,b84V0l9G,44608896,0,38,227,0
599,b84V0l9G,45053706,0,39,160,0
600,b84V0l9G,45469731,0,40,178,0
601,Ba2IQZ7e,793723,0,1,250,0
